Country of Origin,Acidity,Aftertaste,Aroma,Balance,Body,Clean Cup,Cupper Points,Flavor,Sweetness,Uniformity,Total Cup Points
Colombia,7.83,7.75,7.75,7.83,7.75,10.0,7.92,7.83,10.0,10.0,84.67
Kenya,8.0,7.83,7.75,7.75,7.58,10.0,7.83,7.92,10.0,10.0,84.67
Guatemala,7.83,7.67,8.0,8.0,7.67,10.0,7.67,7.83,10.0,10.0,84.67
Guatemala,8.0,7.67,7.67,7.83,7.67,10.0,8.0,7.83,10.0,10.0,84.67
Mexico,7.92,7.67,7.83,7.83,7.92,10.0,7.92,7.58,10.0,10.0,84.67
Uganda,7.92,7.75,7.92,7.75,7.67,10.0,7.83,7.83,10.0,10.0,84.67
Peru,7.75,7.75,7.67,7.83,7.92,10.0,7.92,7.83,10.0,10.0,84.67
Ethiopia,8.0,7.75,7.42,7.92,8.0,10.0,7.83,7.75,10.0,10.0,84.67
Kenya,7.75,7.83,7.92,7.92,7.58,10.0,7.83,7.75,10.0,10.0,84.58
Colombia,7.92,7.58,7.83,7.83,7.67,10.0,8.08,7.67,10.0,10.0,84.58
Colombia,8.0,7.58,7.92,7.67,7.83,10.0,7.75,7.83,10.0,10.0,84.58
Kenya,7.75,7.83,7.83,7.83,7.58,10.0,7.92,7.83,10.0,10.0,84.58
Guatemala,7.92,7.67,7.75,7.83,7.75,10.0,7.83,7.83,10.0,10.0,84.58
Guatemala,7.58,7.67,8.0,7.67,7.58,10.0,8.17,7.92,10.0,10.0,84.58
Colombia,7.75,7.58,7.67,8.5,7.58,10.0,7.83,7.67,10.0,10.0,84.58
Colombia,7.75,7.83,7.75,8.0,7.58,10.0,7.92,7.75,10.0,10.0,84.58
Kenya,8.08,7.75,7.75,7.75,7.75,10.0,7.75,7.75,10.0,10.0,84.58
Colombia,8.0,7.83,7.67,7.92,7.58,10.0,7.75,7.83,10.0,10.0,84.58
Costa Rica,8.0,7.75,7.75,7.67,7.83,10.0,7.75,7.83,10.0,10.0,84.58
Colombia,7.75,7.75,7.42,7.83,8.08,10.0,8.08,7.67,10.0,10.0,84.58
Brazil,7.75,7.75,8.0,7.75,7.58,10.0,7.75,8.0,10.0,10.0,84.58
Brazil,7.75,7.5,8.5,7.83,7.5,10.0,7.5,8.0,10.0,10.0,84.58
Costa Rica,7.75,7.92,7.92,7.58,7.67,10.0,8.0,7.67,10.0,10.0,84.5
Uganda,7.75,7.67,7.92,7.75,7.83,10.0,7.83,7.75,10.0,10.0,84.5
China,7.83,7.67,7.75,7.67,7.75,10.0,7.92,7.92,10.0,10.0,84.5
Costa Rica,7.83,7.83,7.92,7.58,7.58,10.0,7.92,7.83,10.0,10.0,84.5
Colombia,7.83,7.83,8.08,7.67,7.67,10.0,7.75,7.67,10.0,10.0,84.5
China,7.83,7.75,7.67,7.58,7.75,10.0,7.92,8.0,10.0,10.0,84.5
Guatemala,7.83,7.67,8.17,7.83,7.67,10.0,7.5,7.83,10.0,10.0,84.5
Kenya,8.0,7.67,7.92,7.75,7.67,10.0,7.67,7.83,10.0,10.0,84.5
Mexico,8.08,7.42,8.0,7.67,7.5,10.0,7.92,7.92,10.0,10.0,84.5
Mexico,7.75,7.75,7.92,7.83,7.75,10.0,7.67,7.83,10.0,10.0,84.5
Guatemala,8.0,7.67,7.67,7.83,7.5,10.0,7.83,8.0,10.0,10.0,84.5
Brazil,7.75,7.88,7.81,8.25,7.38,10.0,8.13,7.81,10.0,9.5,84.5
Brazil,7.75,7.75,8.17,7.75,7.67,10.0,7.75,7.67,10.0,10.0,84.5
Costa Rica,8.0,7.83,7.58,7.58,7.67,10.0,7.92,7.83,10.0,10.0,84.42
